date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2010-03-22,86.633139,87.75259,86.580548,87.59481,184477800,0.005332,0.097348,73.6
2010-03-23,87.722557,88.286036,87.437056,88.210907,182941600,0.007009,0.092841,73.6
2010-03-24,87.880289,88.225889,86.835974,87.782616,196072600,-0.004867,0.091997,73.6
2010-03-25,88.376177,88.781884,87.534718,87.6399,223396300,-0.001627,0.091846,73.6
2010-03-26,87.805206,88.218421,87.241726,87.587326,205808500,-0.0006,0.089656,73.6
2010-03-29,88.030613,88.301084,87.669989,88.143311,134513500,0.006328,0.089644,73.6
2010-03-30,88.248461,88.526446,87.835246,88.203384,145772500,0.000681,0.081275,73.6
2010-03-31,87.865287,88.293532,87.609846,87.902855,161078700,-0.003413,0.08265,73.6
2010-04-01,88.503937,88.842023,87.978019,88.503937,161215200,0.006815,0.083065,72.2
2010-04-05,88.841998,89.285266,88.594066,89.225166,105847600,0.008116,0.084846,72.2
2010-04-06,88.969719,89.593305,88.872052,89.435532,110384200,0.002355,0.084597,72.2
2010-04-07,89.255237,89.675966,88.511439,88.92466,184576300,-0.005729,0.076545,72.2
2010-04-08,88.616587,89.382923,88.353631,89.232658,158704000,0.003458,0.074069,72.2
2010-04-09,89.420505,89.856265,89.255223,89.818703,133006500,0.006546,0.074086,72.2
2010-04-12,89.93138,90.194342,89.826198,89.961433,110279000,0.001588,0.073905,72.2
2010-04-13,89.871294,90.186842,89.405482,90.029068,125043600,0.000752,0.070492,72.2
2010-04-14,90.359643,91.05085,90.216899,91.05085,161609000,0.011286,0.075032,72.2
2010-04-15,90.900598,91.336357,90.870545,91.125992,144615300,0.000825,0.075046,72.2
2010-04-16,90.802878,91.12594,89.217621,89.675919,366786700,-0.016041,0.092623,72.2
2010-04-19,89.412981,90.104182,89.007275,90.014023,217947800,0.003763,0.085412,72.2
2010-04-20,90.577491,90.893044,90.059094,90.817909,157708000,0.008891,0.087745,72.2
2010-04-21,90.87053,91.080901,90.149277,90.652657,192910100,-0.001821,0.088443,72.2
2010-04-22,90.014038,91.035816,89.495641,90.923119,115360300,0.002979,0.088177,72.2
2010-04-23,90.863029,91.55423,90.630121,91.516663,177335500,0.006507,0.08897,72.2
2010-04-26,91.546712,91.749568,91.080906,91.171059,143457300,-0.003784,0.090361,72.2
2010-04-27,90.645127,91.163525,88.84199,89.014793,355853300,-0.023935,0.117167,72.2
2010-04-28,89.443037,89.916358,88.857013,89.690964,300674100,0.007567,0.116982,72.2
2010-04-29,90.231923,90.990744,90.209385,90.802917,193775000,0.012321,0.120747,72.2
2010-04-30,90.81793,90.915604,89.240188,89.262726,270000900,-0.017107,0.13185,72.2
2010-05-03,89.690971,90.667671,89.555735,90.419739,182747900,0.012879,0.135313,73.6
2010-05-04,89.412976,89.428,87.842743,88.293526,360353400,-0.023796,0.152849,73.6
2010-05-05,87.572283,88.503907,87.129015,87.767624,328973200,-0.005974,0.152502,73.6
2010-05-06,87.346899,87.902865,78.887186,84.852562,647356600,-0.033777,0.180662,73.6
2010-05-07,84.627187,85.476161,82.200469,83.590385,637558800,-0.014987,0.185076,73.6
2010-05-10,87.008805,87.639905,86.332634,87.271767,396159600,0.043098,0.22591,73.6
2010-05-11,86.452832,88.173325,86.332626,87.023827,317849800,-0.002845,0.225198,73.6
2010-05-12,87.369446,88.368686,87.219182,88.240959,235607100,0.013889,0.228984,73.6
2010-05-13,88.00054,88.413761,87.068921,87.144051,234452500,-0.012509,0.231669,73.6
2010-05-14,86.490401,86.648175,84.799962,85.566292,345601400,-0.018271,0.236346,73.6
2010-05-17,85.799208,86.039626,83.973533,85.611382,325739800,0.000527,0.234786,73.6
2010-05-18,86.310083,86.56553,84.168861,84.446846,360556800,-0.013696,0.237165,73.6
2010-05-19,83.973535,84.724842,82.914196,83.966026,394742700,-0.00571,0.237162,73.6
2010-05-20,82.177911,82.561079,80.742918,80.795509,530418300,-0.038491,0.25906,73.6
2010-05-21,79.570881,82.17791,79.15766,81.97506,500909400,0.014494,0.262687,73.6
2010-05-24,81.531782,82.185421,80.848096,80.923225,269823000,-0.012914,0.263824,73.6
2010-05-25,78.969812,81.043419,78.421356,81.005852,396505200,0.001021,0.263863,73.6
2010-05-26,81.50174,82.245532,80.277107,80.517525,349719300,-0.006047,0.260167,73.6
2010-05-27,82.035163,83.244767,81.727125,83.214714,300870500,0.032949,0.281255,73.6
2010-05-28,83.124552,83.184658,81.779712,82.170395,297933500,-0.012629,0.280054,73.6
2010-06-01,81.404058,82.606147,80.667781,80.787987,277909400,-0.016967,0.282196,76.0
2010-06-02,81.201208,82.899156,80.772963,82.891647,240243700,0.025706,0.29268,76.0
2010-06-03,83.132086,83.440118,82.328188,83.177162,226618300,0.003439,0.293267,76.0
2010-06-04,81.599417,82.140359,79.984107,80.254578,398475600,-0.035769,0.3077,76.0
